long,lat,depth
-1.4,45.0,-36.97
-1.399,45.0,-37.52
-1.398,45.0,-37.64
-1.397,45.0,-37.59
-1.396,45.0,-37.53
-1.395,45.0,-37.57
-1.394,45.0,-37.5
-1.393,45.0,-37.3
-1.392,45.0,-36.93
-1.391,45.0,-36.29
-1.39,45.0,-35.22
-1.389,45.0,-33.65
-1.388,45.0,-34.43
-1.387,45.0,-34.64
-1.386,45.0,-35.83
-1.385,45.0,-36.5
-1.384,45.0,-36.58
-1.383,45.0,-36.51
-1.382,45.0,-36.11
-1.381,45.0,-35.49
-1.38,45.0,-34.79
-1.379,45.0,-34.59
-1.378,45.0,-34.59
-1.377,45.0,-34.29
-1.376,45.0,-34.29
-1.375,45.0,-34.29
-1.374,45.0,-34.29
-1.373,45.0,-34.19
-1.372,45.0,-34.0
-1.371,45.0,-34.05
-1.37,45.0,-34.09
-1.369,45.0,-33.79
-1.368,45.0,-33.7
-1.367,45.0,-33.65
-1.366,45.0,-33.97
-1.365,45.0,-34.04
-1.364,45.0,-33.71
-1.363,45.0,-33.29
-1.362,45.0,-32.65
-1.361,45.0,-31.77
-1.36,45.0,-32.71
-1.359,45.0,-33.36
-1.358,45.0,-33.66
-1.357,45.0,-33.58
-1.356,45.0,-33.39
-1.355,45.0,-33.44
-1.354,45.0,-33.34
-1.353,45.0,-33.15
-1.352,45.0,-32.86
-1.351,45.0,-32.31
-1.35,45.0,-31.07
-1.349,45.0,-28.5
-1.348,45.0,-29.88
-1.347,45.0,-31.7
-1.346,45.0,-29.39
-1.345,45.0,-32.2
-1.344,45.0,-32.78
-1.343,45.0,-32.8
-1.342,45.0,-32.49
-1.341,45.0,-32.08
-1.34,45.0,-31.68
-1.339,45.0,-31.39
-1.338,45.0,-31.22
-1.337,45.0,-31.15
-1.336,45.0,-31.11
-1.335,45.0,-30.89
-1.334,45.0,-29.34
-1.333,45.0,-29.62
-1.332,45.0,-30.65
-1.331,45.0,-31.6
-1.33,45.0,-29.72
-1.329,45.0,-28.96
-1.328,45.0,-28.6
-1.327,45.0,-28.89
-1.326,45.0,-30.94
-1.325,45.0,-31.02
-1.324,45.0,-30.6
-1.323,45.0,-30.25
-1.322,45.0,-29.89
-1.321,45.0,-29.39
-1.32,45.0,-30.1
-1.319,45.0,-30.2
-1.318,45.0,-30.21
-1.317,45.0,-30.0
-1.316,45.0,-29.0
-1.315,45.0,-28.36
-1.314,45.0,-27.8
-1.313,45.0,-27.31
-1.312,45.0,-26.89
-1.311,45.0,-26.54
-1.31,45.0,-26.26
-1.309,45.0,-26.04
-1.308,45.0,-25.85
-1.307,45.0,-25.7
-1.306,45.0,-25.57
-1.305,45.0,-25.48
-1.304,45.0,-25.46
-1.303,45.0,-25.59
-1.302,45.0,-25.77
-1.301,45.0,-26.0
-1.3,45.0,-26.14
-1.299,45.0,-26.13
-1.298,45.0,-25.95
-1.297,45.0,-25.83
-1.296,45.0,-25.75
-1.295,45.0,-25.71
-1.294,45.0,-25.7
-1.293,45.0,-25.73
-1.292,45.0,-25.78
-1.291,45.0,-25.85
-1.29,45.0,-25.94
-1.289,45.0,-26.05
-1.288,45.0,-26.18
-1.287,45.0,-26.32
-1.286,45.0,-26.46
-1.285,45.0,-26.61
-1.284,45.0,-26.74
-1.283,45.0,-26.85
-1.282,45.0,-26.91
-1.281,45.0,-26.84
-1.28,45.0,-26.39
-1.279,45.0,-25.76
-1.278,45.0,-25.03
-1.277,45.0,-24.26
-1.276,45.0,-23.5
-1.275,45.0,-22.81
-1.274,45.0,-22.24
-1.273,45.0,-21.89
-1.272,45.0,-21.88
-1.271,45.0,-22.08
-1.27,45.0,-22.38
-1.269,45.0,-22.73
-1.268,45.0,-23.07
-1.267,45.0,-23.36
-1.266,45.0,-23.52
-1.265,45.0,-23.54
-1.264,45.0,-23.58
-1.263,45.0,-24.69
-1.262,45.0,-24.56
-1.261,45.0,-24.24
-1.26,45.0,-23.91
