Bathymetry produced by Shom - 540
S186500200
long(DD),lat(DD),depth(m - down positive - LAT)
-1.3,44.8,-22.13
-1.299,44.8,-22.1
-1.298,44.8,-22.05
-1.297,44.8,-21.97
-1.296,44.8,-21.88
-1.295,44.8,-21.79
-1.294,44.8,-21.69
-1.293,44.8,-21.59
-1.292,44.8,-21.48
-1.291,44.8,-21.38
-1.29,44.8,-21.26
-1.289,44.8,-21.14
-1.288,44.8,-21.02
-1.287,44.8,-20.89
-1.286,44.8,-20.76
-1.285,44.8,-20.63
-1.284,44.8,-20.5
-1.283,44.8,-20.37
-1.282,44.8,-20.26
-1.281,44.8,-20.18
-1.28,44.8,-20.14
-1.279,44.8,-20.1
-1.278,44.8,-20.07
-1.277,44.8,-20.03
-1.276,44.8,-19.99
-1.275,44.8,-19.93
-1.274,44.8,-19.84
-1.273,44.8,-19.7
-1.272,44.8,-19.54
-1.271,44.8,-19.32
-1.27,44.8,-19.07
-1.269,44.8,-18.79
-1.268,44.8,-18.51
-1.267,44.8,-18.2
-1.266,44.8,-17.89
-1.265,44.8,-17.57
-1.264,44.8,-17.23
-1.263,44.8,-16.89
-1.262,44.8,-16.52
-1.261,44.8,-16.14
-1.26,44.8,-15.75
-1.259,44.8,-15.34
-1.258,44.8,-14.91
-1.257,44.8,-14.46
-1.256,44.8,-14.0
-1.255,44.8,-13.52
-1.254,44.8,-13.03
-1.253,44.8,-12.52
-1.252,44.8,-11.99
-1.251,44.8,-11.43
-1.25,44.8,-10.83
-1.249,44.8,-10.17
-1.248,44.8,-9.39
-1.247,44.8,-8.56
-1.246,44.8,-7.7
-1.245,44.8,-6.85
-1.244,44.8,-6.04
-1.243,44.8,-5.27
-1.242,44.8,-4.52
-1.241,44.8,-3.72
-1.24,44.8,-2.81
-1.239,44.8,-1.72
-1.238,44.8,-0.36
-1.237,44.8,1.38
-1.236,44.8,3.51
-1.235,44.8,6.07
-1.234,44.8,9.24
-1.3,44.799,-22.16
-1.299,44.799,-22.2
-1.298,44.799,-22.09
-1.297,44.799,-21.97
-1.296,44.799,-21.86
-1.295,44.799,-21.76
-1.294,44.799,-21.66
-1.293,44.799,-21.56
-1.292,44.799,-21.46
-1.291,44.799,-21.35
-1.29,44.799,-21.23
-1.289,44.799,-21.11
-1.288,44.799,-20.98
-1.287,44.799,-20.85
-1.286,44.799,-20.72
-1.285,44.799,-20.58
-1.284,44.799,-20.45
-1.283,44.799,-20.33
-1.282,44.799,-20.23
-1.281,44.799,-20.18
-1.28,44.799,-20.12
-1.279,44.799,-20.08
-1.278,44.799,-20.05
-1.277,44.799,-20.01
-1.276,44.799,-19.97
-1.275,44.799,-19.92
-1.274,44.799,-19.85
-1.273,44.799,-19.75
-1.272,44.799,-19.54
-1.271,44.799,-19.29
-1.27,44.799,-19.03
-1.269,44.799,-18.75
-1.268,44.799,-18.46
-1.267,44.799,-18.16
-1.266,44.799,-17.85
-1.265,44.799,-17.53
-1.264,44.799,-17.2
-1.263,44.799,-16.85
-1.262,44.799,-16.49
-1.261,44.799,-16.11
-1.26,44.799,-15.72
-1.259,44.799,-15.31
-1.258,44.799,-14.88
-1.257,44.799,-14.44
-1.256,44.799,-13.98
-1.255,44.799,-13.51
-1.254,44.799,-13.02
-1.253,44.799,-12.52
-1.252,44.799,-12.0
-1.251,44.799,-11.45
-1.25,44.799,-10.85
-1.249,44.799,-10.17
-1.248,44.799,-9.34
-1.247,44.799,-8.44
-1.246,44.799,-7.51
-1.245,44.799,-6.61
-1.244,44.799,-5.76
-1.243,44.799,-5.02
-1.242,44.799,-4.31
-1.241,44.799,-3.55
-1.24,44.799,-2.67
-1.239,44.799,-1.58
-1.238,44.799,-0.17
-1.237,44.799,1.71
-1.236,44.799,4.07
-1.235,44.799,7.1
-1.234,44.799,11.24
-1.3,44.798,-22.12
-1.299,44.798,-22.2
-1.298,44.798,-22.04
-1.297,44.798,-21.92
-1.296,44.798,-21.82
-1.295,44.798,-21.73
-1.294,44.798,-21.64
-1.293,44.798,-21.54
-1.292,44.798,-21.43
-1.291,44.798,-21.32
-1.29,44.798,-21.21
-1.289,44.798,-21.08
-1.288,44.798,-20.95
-1.287,44.798,-20.82
-1.286,44.798,-20.68
-1.285,44.798,-20.54
-1.284,44.798,-20.41
-1.283,44.798,-20.28
-1.282,44.798,-20.18
-1.281,44.798,-20.14
-1.28,44.798,-20.1
-1.279,44.798,-20.06
-1.278,44.798,-20.02
-1.277,44.798,-19.98
-1.276,44.798,-19.93
-1.275,44.798,-19.88
-1.274,44.798,-19.81
-1.273,44.798,-19.71
-1.272,44.798,-19.5
-1.271,44.798,-19.25
-1.27,44.798,-18.98
-1.269,44.798,-18.71
-1.268,44.798,-18.42
-1.267,44.798,-18.12
