long,lat,depth
-1.329,44.959,-28.59
-1.328,44.959,-28.58
-1.327,44.959,-28.61
-1.326,44.959,-28.46
-1.325,44.959,-28.32
-1.324,44.959,-28.13
-1.323,44.959,-27.93
-1.322,44.959,-27.72
-1.321,44.959,-27.52
-1.32,44.959,-27.34
-1.319,44.959,-27.16
-1.318,44.959,-26.99
-1.317,44.959,-26.84
-1.316,44.959,-26.7
-1.315,44.959,-26.59
-1.314,44.959,-26.51
-1.313,44.959,-26.53
-1.312,44.959,-26.77
-1.311,44.959,-26.36
-1.31,44.959,-26.17
-1.309,44.959,-26.1
-1.308,44.959,-26.07
-1.307,44.959,-26.05
-1.306,44.959,-26.02
-1.305,44.959,-25.98
-1.304,44.959,-25.93
-1.303,44.959,-25.88
-1.302,44.959,-25.83
-1.301,44.959,-25.81
-1.3,44.959,-26.16
-1.299,44.959,-26.52
-1.298,44.959,-26.85
-1.297,44.959,-27.12
-1.296,44.959,-27.29
-1.295,44.959,-27.33
-1.294,44.959,-27.2
-1.293,44.959,-26.91
-1.292,44.959,-26.5
-1.291,44.959,-26.01
-1.29,44.959,-25.5
-1.289,44.959,-24.99
-1.288,44.959,-24.49
-1.287,44.959,-24.02
-1.286,44.959,-23.59
-1.285,44.959,-23.22
-1.284,44.959,-22.92
-1.283,44.959,-22.71
-1.282,44.959,-22.6
-1.281,44.959,-22.29
-1.28,44.959,-22.67
-1.279,44.959,-23.49
-1.278,44.959,-24.33
-1.277,44.959,-24.69
-1.276,44.959,-24.73
-1.275,44.959,-24.74
-1.274,44.959,-24.76
-1.273,44.959,-24.78
-1.272,44.959,-24.81
-1.271,44.959,-24.82
-1.27,44.959,-24.82
-1.269,44.959,-24.81
-1.268,44.959,-24.78
-1.267,44.959,-24.74
-1.266,44.959,-24.7
-1.265,44.959,-24.64
-1.264,44.959,-24.57
-1.263,44.959,-24.5
-1.262,44.959,-24.43
-1.261,44.959,-24.34
-1.26,44.959,-24.24
-1.259,44.959,-24.14
-1.258,44.959,-24.03
-1.257,44.959,-23.65
-1.256,44.959,-23.24
-1.255,44.959,-22.79
-1.254,44.959,-22.28
-1.253,44.959,-21.58
-1.252,44.959,-20.85
-1.251,44.959,-20.17
-1.25,44.959,-19.93
-1.249,44.959,-19.79
-1.248,44.959,-19.71
-1.247,44.959,-19.68
-1.246,44.959,-19.67
-1.245,44.959,-19.68
-1.244,44.959,-19.68
-1.243,44.959,-19.69
-1.242,44.959,-19.68
-1.241,44.959,-19.67
-1.24,44.959,-19.63
-1.239,44.959,-19.57
-1.238,44.959,-19.47
-1.237,44.959,-19.22
-1.236,44.959,-18.7
-1.235,44.959,-17.93
-1.234,44.959,-17.04
-1.233,44.959,-16.08
-1.232,44.959,-15.1
-1.231,44.959,-14.1
-1.23,44.959,-13.1
-1.229,44.959,-12.11
-1.228,44.959,-11.19
-1.227,44.959,-10.39
-1.226,44.959,-9.85
-1.225,44.959,-9.46
-1.224,44.959,-9.13
-1.223,44.959,-8.83
-1.222,44.959,-8.51
-1.221,44.959,-8.15
-1.22,44.959,-7.73
-1.219,44.959,-7.24
-1.218,44.959,-6.65
-1.217,44.959,-5.97
-1.216,44.959,-5.15
-1.215,44.959,-4.13
-1.214,44.959,-2.76
-1.213,44.959,-0.72
-1.212,44.959,2.54
-1.211,44.959,6.8
-1.21,44.959,11.48
-1.209,44.959,15.88
-1.208,44.959,18.97
-1.329,44.958,-28.55
-1.328,44.958,-28.5
-1.327,44.958,-28.46
-1.326,44.958,-28.39
-1.325,44.958,-28.32
-1.324,44.958,-28.13
-1.323,44.958,-27.93
-1.322,44.958,-27.72
-1.321,44.958,-27.52
-1.32,44.958,-27.33
-1.319,44.958,-27.16
-1.318,44.958,-26.99
-1.317,44.958,-26.85
-1.316,44.958,-26.72
-1.315,44.958,-26.62
-1.314,44.958,-26.52
-1.313,44.958,-26.37
-1.312,44.958,-26.17
-1.311,44.958,-26.18
-1.31,44.958,-26.14
-1.309,44.958,-26.11
-1.308,44.958,-26.08
-1.307,44.958,-26.06
-1.306,44.958,-26.02
-1.305,44.958,-25.98
-1.304,44.958,-25.93
-1.303,44.958,-25.9
-1.302,44.958,-25.9
-1.301,44.958,-26.01
-1.3,44.958,-26.26
-1.299,44.958,-26.6
-1.298,44.958,-26.96
-1.297,44.958,-27.27
-1.296,44.958,-27.44
-1.295,44.958,-27.39
-1.294,44.958,-27.15
-1.293,44.958,-26.79
-1.292,44.958,-26.35
-1.291,44.958,-25.85
-1.29,44.958,-25.33
-1.289,44.958,-24.81
-1.288,44.958,-24.31
-1.287,44.958,-23.84
-1.286,44.958,-23.41
-1.285,44.958,-23.04
-1.284,44.958,-22.73
-1.283,44.958,-22.51
-1.282,44.958,-22.34
-1.281,44.958,-22.43
-1.28,44.958,-22.96
-1.279,44.958,-23.78
-1.278,44.958,-24.68
-1.277,44.958,-24.89
-1.276,44.958,-24.89
-1.275,44.958,-24.87
-1.274,44.958,-24.86
-1.273,44.958,-24.86
-1.272,44.958,-24.86
-1.271,44.958,-24.85
-1.27,44.958,-24.83
-1.269,44.958,-24.8
-1.268,44.958,-24.76
-1.267,44.958,-24.71
-1.266,44.958,-24.66
-1.265,44.958,-24.6
-1.264,44.958,-24.54
-1.263,44.958,-24.48
-1.262,44.958,-24.41
-1.261,44.958,-24.32
-1.26,44.958,-24.21
-1.259,44.958,-24.08
-1.258,44.958,-23.89
-1.257,44.958,-23.65
-1.256,44.958,-23.33
-1.255,44.958,-22.94
-1.254,44.958,-22.49
-1.253,44.958,-21.92
-1.252,44.958,-20.79
-1.251,44.958,-20.06
-1.25,44.958,-19.77
-1.249,44.958,-19.67
-1.248,44.958,-19.64
-1.247,44.958,-19.63
-1.246,44.958,-19.64
-1.245,44.958,-19.64
-1.244,44.958,-19.65
-1.243,44.958,-19.65
-1.242,44.958,-19.63
-1.241,44.958,-19.6
-1.24,44.958,-19.55
-1.239,44.958,-19.46
-1.238,44.958,-19.33
-1.237,44.958,-19.17
-1.236,44.958,-18.63
-1.235,44.958,-17.84
-1.234,44.958,-16.94
-1.233,44.958,-15.98
-1.232,44.958,-14.98
-1.231,44.958,-13.98
-1.23,44.958,-12.97
-1.229,44.958,-11.98
-1.228,44.958,-11.02
-1.227,44.958,-10.17
-1.226,44.958,-9.71
-1.225,44.958,-9.37
-1.224,44.958,-9.06
-1.223,44.958,-8.76
-1.222,44.958,-8.45
-1.221,44.958,-8.08
-1.22,44.958,-7.65
-1.219,44.958,-7.12
-1.218,44.958,-6.49
